id,2017All CrimeCases,2017All CrimeRate,2017MurderCases,2017MurderRate,2017RapeCases,2017RapeRate,2017RobberyCases,2017RobberyRate,2017HarmingCases,2017HarmingRate,2017TheftCases,2017TheftRate,2017Drug addictsCases,2017Drug addictsRate,2017House break-insCases,2017House break-insRate,2018All CrimeCases,2018All CrimeRate,2018MurderCases,2018MurderRate,2018RapeCases,2018RapeRate,2018RobberyCases,2018RobberyRate,2018HarmingCases,2018HarmingRate,2018TheftCases,2018TheftRate,2018Drug addictsCases,2018Drug addictsRate,2018House break-insCases,2018House break-insRate,2019All CrimeCases,2019All CrimeRate,2019MurderCases,2019MurderRate,2019RapeCases,2019RapeRate,2019RobberyCases,2019RobberyRate,2019HarmingCases,2019HarmingRate,2019TheftCases,2019TheftRate,2019Drug addictsCases,2019Drug addictsRate,2019House break-insCases,2019House break-insRate
Johor,11307,299.9,66,1.75,196,5.2,7518,199.4,614,16.29,2043,54.18,2108,55.91,1211,32.12,10338,270.42,43,1.12,187,4.89,7219,188.83,578,15.12,2025,52.97,2352,61.52,1239,32.41,9870,254.74,35,0.9,206,5.32,6583,169.91,599,15.46,1912,49.35,2371,61.19,1364,35.2
Kedah,6759,310.73,21,0.97,119,5.47,4413,202.87,364,16.73,1108,50.93,2655,122.06,1350,62.06,6221,282,9,0.41,119,5.39,4102,185.95,337,15.28,1101,49.91,2693,122.08,1130,51.22,5615,251.04,20,0.89,145,6.48,3540,158.27,329,14.71,956,42.74,3582,160.15,1138,50.88
Kelantan,4520,244.67,13,0.7,114,6.17,3350,181.33,252,13.64,547,29.61,3700,200.28,570,30.85,3987,211.57,6,0.32,101,5.36,2777,147.37,190,10.08,613,32.53,4153,229.38,699,37.09,3546,184.52,9,0.47,73,3.8,2147,111.72,178,9.26,757,39.39,2998,156,929,48.34
Kuala Lumpur,13482,690.15,37,1.89,132,6.76,8295,424.62,651,33.32,3128,160.12,1693,86.66,1188,60.81,12127,615.05,33,1.67,112,5.68,7886,399.95,520,26.37,3121,158.29,1255,63.65,1104,55.99,11178,562.02,23,1.16,122,6.13,7174,360.7,506,25.44,2733,137.41,1066,53.6,1088,54.7
Melaka,3097,336.12,7,0.76,69,7.49,1688,183.2,176,19.1,448,48.62,613,66.53,567,61.54,2800,299.56,13,1.39,51,5.46,1588,169.9,198,21.18,434,46.43,736,78.74,591,63.23,2561,270.29,5,0.53,22,2.32,1420,149.87,164,17.31,593,62.59,819,86.44,681,71.87
Negeri Sembilan,3973,351.87,14,1.24,91,8.06,2194,194.32,241,21.34,1121,99.28,1012,89.63,895,79.27,3673,321.94,9,0.79,97,8.5,1969,172.59,249,21.82,1047,91.77,1374,120.43,873,76.52,3332,289.24,10,0.87,56,4.86,1789,155.3,258,22.4,945,82.03,1244,107.99,756,65.63
Pahang,3607,214.82,16,0.95,163,9.71,2157,128.47,188,11.2,712,42.41,2088,124.35,794,47.29,3584,210.48,8,0.47,109,6.4,2151,126.32,199,11.69,1142,67.07,1749,102.71,861,50.56,3272,189.53,17,0.98,114,6.6,1958,113.42,226,13.09,1086,62.91,1672,96.85,718,41.59
Perak,5326,209.03,35,1.37,95,3.73,3605,206.39,380,14.91,1013,39.75,1557,61.11,859,33.71,5128,199.58,33,1.28,104,4.05,3272,185.16,358,13.93,1041,40.52,1820,70.83,1023,39.81,4911,189.55,31,1.2,102,3.94,3127,174.99,419,16.17,1091,42.11,2046,78.97,1064,41.07
Perlis,603,235.18,2,0.78,30,11.7,3327,130.57,47,18.33,182,70.98,654,255.07,87,33.93,563,217.29,1,0.39,30,11.58,3100,120.65,45,17.37,192,74.1,582,224.62,54,20.84,527,201.15,1,0.38,24,9.16,2746,105.99,60,22.9,187,71.37,316,120.61,111,42.37
Penang,5551,317.8,17,0.97,80,4.58,384,149.76,275,15.74,861,49.29,3844,220.07,868,49.69,5017,283.9,21,1.19,72,4.07,383,147.81,295,16.69,860,48.67,2303,130.32,855,48.38,5220,292.11,16,0.9,80,4.48,295,112.59,341,19.08,1035,57.92,2893,161.89,1036,57.97
Sabah,6236,157.77,36,0.91,211,5.34,3567,90.23,230,5.82,2541,64.28,1139,28.82,1908,48.27,6151,153.02,37,0.92,178,4.43,3690,91.8,216,5.37,2952,73.44,1272,31.64,1881,46.79,5744,140.61,28,0.69,219,5.36,3300,80.77,221,5.41,2626,64.28,1713,41.93,1806,44.21
Sarawak,6381,228.75,27,0.97,150,5.38,4191,150.25,368,13.19,1284,46.03,440,15.77,1314,47.11,5830,206.04,17,0.6,131,4.63,3522,124.47,358,12.65,1391,49.16,693,24.49,1497,52.91,6023,209.98,27,0.94,149,5.19,3502,122.08,335,11.68,1644,57.31,852,29.7,1623,56.58
Selangor,26069,407.26,83,1.3,321,5.01,15466,241.62,1108,17.31,4091,63.91,2375,37.1,4133,64.57,21420,329.07,91,1.4,294,4.52,13247,203.52,993,15.26,3725,57.23,2228,34.23,3515,54,19806,299.45,90,1.36,346,5.23,11821,178.72,960,14.51,3519,53.2,2385,36.05,3679,55.62
Terengganu,2257,184.76,5,0.41,64,5.24,1447,118.45,130,10.64,365,29.88,2044,167.32,456,37.33,1823,146.38,2,0.16,63,5.06,1112,89.28,124,9.96,420,33.72,2057,165.17,420,33.72,1870,147.29,1,0.08,80,6.3,1081,85.13,118,9.29,524,41.27,2123,167.22,496,39.07
